,Team,Season,Total_Batting_Weight,Total_Bowling_Weight,Team_Weight
59,Rajasthan Royals,2014,77.28126999999999,53.723020000000005,131.00428999999997
60,Rajasthan Royals,2015,61.54165,39.74894,101.29058999999998
61,Chennai Super Kings,2015,43.872910000000005,35.73001,79.60292
62,Delhi Daredevils,2015,50.80630000000001,39.776,90.5823
63,Mumbai Indians,2015,57.503130000000006,49.49066,106.99379
64,Royal Challengers Bangalore,2015,50.830220000000004,42.25598,93.08619999999999
65,Kings XI Punjab,2015,53.42191,26.992979999999996,80.41489
66,Sunrisers Hyderabad,2015,57.69795,38.50951,96.20746000000001
67,Kolkata Knight Riders,2015,56.94167999999999,44.62037999999999,101.56206
68,Gujarat Lions,2016,46.96874000000001,37.02481,83.99355
69,Rising Pune Supergiants,2016,62.18022000000001,46.90458,109.0848
70,Royal Challengers Bangalore,2016,62.335420000000006,36.21946,98.55487999999998
71,Kolkata Knight Riders,2016,59.09064,38.12036,97.211
72,Delhi Daredevils,2016,56.85835000000001,39.67228,96.53063
73,Kings XI Punjab,2016,53.37192,28.25357,81.62549
74,Mumbai Indians,2016,68.13126,48.44116,116.57242
75,Sunrisers Hyderabad,2016,58.8563,36.94581,95.80211000000001
76,Kings XI Punjab,2017,56.58129,31.7925,88.37379000000001
77,Rising Pune Supergiant,2017,55.27084,28.25715,83.52799
78,Mumbai Indians,2017,70.59688,58.06262,128.65949999999998
79,Gujarat Lions,2017,55.23229,45.05549,100.28778
80,Sunrisers Hyderabad,2017,60.80005,40.03309,100.83314
81,Delhi Daredevils,2017,51.03024,34.75838,85.78862000000001
82,Royal Challengers Bangalore,2017,57.41875,37.39634,94.81509000000001
83,Kolkata Knight Riders,2017,48.43857,35.44347,83.88204
84,Mumbai Indians,2018,51.23124999999999,35.00243,86.23367999999999
85,Sunrisers Hyderabad,2018,50.71670000000001,36.63688,87.35358000000001
86,Royal Challengers Bangalore,2018,69.00524,36.41758,105.42282
87,Kolkata Knight Riders,2018,40.662510000000005,28.74061,69.40312
88,Chennai Super Kings,2018,49.77396,26.84322,76.61717999999999
89,Rajasthan Royals,2018,51.91251,32.81377,84.72628000000002
90,Delhi Daredevils,2018,65.59273,38.20887,103.80160000000001
91,Kings XI Punjab,2018,52.48335,29.78423,82.26758000000001
92,Delhi Capitals,2019,49.608360000000005,26.79605,76.40441000000001
93,Royal Challengers Bangalore,2019,55.6219,40.6605,96.2824
94,Kolkata Knight Riders,2019,39.54585,23.9517,63.49754999999999
95,Kings XI Punjab,2019,41.35833,16.167499999999997,57.52583000000001
96,Chennai Super Kings,2019,52.518750000000004,31.44582,83.96457000000001
97,Mumbai Indians,2019,55.01042999999999,38.48119,93.49162
98,Sunrisers Hyderabad,2019,66.18754,36.603880000000004,102.79142000000002
99,Rajasthan Royals,2019,52.24896,32.55552,84.80448000000001
